
2023/08/22 (07:29:05) | ===> btop++ v.1.2.13
2023/08/22 (07:29:05) | INFO: Logger set to DEBUG
2023/08/22 (07:29:05) | DEBUG: Using locale en_US.UTF-8
2023/08/22 (07:29:05) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
2023/08/22 (07:29:05) | INFO: Quitting! Runtime: 00:00:00

2023/08/22 (23:27:58) | ===> btop++ v.1.2.13
2023/08/22 (23:27:58) | INFO: Logger set to DEBUG
2023/08/22 (23:27:58) | DEBUG: Using locale en_US.UTF-8
2023/08/22 (23:27:58) | INFO: Running on /dev/pts/2
2023/08/22 (23:27:58) | DEBUG: Loading theme file: /home/dmne/.config/btop/themes/HotPurpleTrafficLight.theme

2023/08/23 (20:49:38) | ===> btop++ v.1.2.13
2023/08/23 (20:49:38) | INFO: Logger set to DEBUG
2023/08/23 (20:49:38) | DEBUG: Using locale en_US.UTF-8
2023/08/23 (20:49:38) | INFO: Running on /dev/pts/0
2023/08/23 (20:49:38) | DEBUG: Loading theme file: /home/dmne/.config/btop/themes/HotPurpleTrafficLight.theme

2023/08/24 (22:09:52) | ===> btop++ v.1.2.13
2023/08/24 (22:09:52) | INFO: Logger set to DEBUG
2023/08/24 (22:09:52) | DEBUG: Using locale en_US.UTF-8
2023/08/24 (22:09:52) | INFO: Running on /dev/pts/2
2023/08/24 (22:09:52) | DEBUG: Loading theme file: /home/dmne/.config/btop/themes/HotPurpleTrafficLight.theme

2023/08/26 (07:11:09) | ===> btop++ v.1.2.13
2023/08/26 (07:11:09) | INFO: Logger set to DEBUG
2023/08/26 (07:11:09) | DEBUG: Using locale en_US.UTF-8
2023/08/26 (07:11:09) | INFO: Running on /dev/pts/0
2023/08/26 (07:11:09) | DEBUG: Loading theme file: /home/dmne/.config/btop/themes/HotPurpleTrafficLight.theme

2023/08/26 (07:14:54) | ===> btop++ v.1.2.13
2023/08/26 (07:14:54) | INFO: Logger set to DEBUG
2023/08/26 (07:14:54) | DEBUG: Using locale en_US.UTF-8
2023/08/26 (07:14:54) | INFO: Running on /dev/pts/0
2023/08/26 (07:14:54) | DEBUG: Loading theme file: /home/dmne/.config/btop/themes/HotPurpleTrafficLight.theme

2023/08/26 (08:20:58) | ===> btop++ v.1.2.13
2023/08/26 (08:20:58) | INFO: Logger set to DEBUG
2023/08/26 (08:20:58) | DEBUG: Using locale en_US.UTF-8
2023/08/26 (08:20:58) | INFO: Running on /dev/pts/4
